customerID,gender,SeniorCitizen,tenure,PhoneService,InternetService,Contract,MonthlyCharges,TotalCharges,PaymentMethod,Churn
CUST108575,,0.0,46.0,yes,dsl,Two year,99.31,4503.37,Credit card,No
CUST103742,FEMALE,,18.0,No,,month-to-month,20.76,416.93,,no
CUST106231,Female,,34.0,,No,month-to-month,22.53,709.87,,Yes
CUST105723,male,0.0,45.0,,dsl,Two year,52.79,1952.69,Credit card,no
CUST108987,male,,55.0,No,No,Two year,29.91,1822.84,Electronic check,no
CUST106522,,0.0,61.0,No,dsl,Two year,88.43,5702.33,Mailed check,Yes
CUST103149,male,1.0,22.0,yes,,Month-to-month,110.83,2054.05,Bank transfer,No
CUST102876,,1.0,42.0,Yes,Fiber optic,One year,91.82,3305.38,,No
CUST105914,,,50.0,Yes,Fiber optic,Two year,95.28,4963.69,Bank transfer,no
CUST107744,FEMALE,1.0,9.0,No,dsl,Two year,84.61,839.08,,Yes
CUST105700,male,,61.0,No,dsl,Two year,108.82,7716.53,Mailed check,No
CUST104689,Male,1.0,10.0,No,No,One year,57.99,605.55,Credit card,NO
CUST101780,Male,0.0,38.0,Yes,No,Month-to-month,72.82,2436.83,Bank transfer,Yes
CUST108904,,1.0,61.0,No,No,Month-to-month,57.92,3903.96,Electronic check,Yes
CUST104359,Male,1.0,51.0,,,Two year,119.66,5472.79,Electronic check,Yes
CUST107732,,,19.0,,dsl,Month-to-month,85.3,1418.3,Electronic check,No
CUST103794,FEMALE,0.0,37.0,yes,DSL,month-to-month,63.8,2802.93,,no
CUST103370,Female,0.0,28.0,No,DSL,Month-to-month,83.47,2663.98,Credit card,Yes
CUST106013,Female,,42.0,Yes,DSL,One year,82.41,3775.58,Electronic check,no
CUST105803,male,0.0,11.0,Yes,DSL,month-to-month,113.29,1090.97,Credit card,NO
CUST108778,Female,,61.0,,Fiber optic,Two year,102.88,6946.74,,No
CUST109077,FEMALE,1.0,68.0,,No,One year,78.81,4772.74,,No
CUST103053,Female,,38.0,No,No,One year,95.95,3401.75,Mailed check,Yes
CUST103288,Male,1.0,3.0,No,Fiber optic,month-to-month,30.05,90.72,Mailed check,NO
CUST102589,,0.0,10.0,No,No,One year,87.53,777.02,Electronic check,yes
CUST108057,Male,,64.0,No,dsl,One year,78.13,5270.91,Credit card,No
CUST104587,Female,1.0,68.0,,Fiber optic,One year,77.72,5853.45,Electronic check,no
CUST100033,Female,,18.0,No,No,Month-to-month,82.32,1669.24,Bank transfer,Yes
CUST106388,,1.0,31.0,yes,,month-to-month,69.94,2175.92,Electronic check,no
CUST107194,male,1.0,4.0,No,Fiber optic,Month-to-month,37.75,167.5,,No
CUST108377,Male,,57.0,No,dsl,month-to-month,69.43,3541.26,Credit card,no
CUST104816,Female,1.0,69.0,,DSL,month-to-month,75.56,4320.1,,No
